ï»¿X,Y,OBJECTID_1,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE
-71.100695,42.310865,114,1768,350785,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,BOSTON,MA,2130,Tricia Morrow,617-522-0880,--,"PK,K,1,2,3,4,5,6",PRI
-71.0577789,42.32771001,116,1770,350882,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,BOSTON,MA,2127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.09312161,42.32877568,117,1771,350812,Paige Academy,28 Highland Avenue,Roxbury,BOSTON,MA,2119,Angela Cook,617-445-6969,--,"PK,K,1",PRI
-71.10172741,42.32155691,118,175,8588,Nativity Prep School,39 Lamartine Street,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI
-71.10089053,42.33313924,119,174,,Mission Grammar School,94 St Alphonsus,Roxbury,BOSTON,MA,2120,Aliece Dutson,617-442-2660,--,"K,1,2,3,4,5,6,7,8",PRI
-71.12228117,42.27831337,120,181,8060,Sacred Heart Elementary,1035 Canterbury,Roslindale,BOSTON,MA,2131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.15298746,42.35244146,122,185,8077,St Columbkille Elem,25 Arlington Street,Brighton,BOSTON,MA,2135,Mary Battles,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.16578082,42.27770093,123,167,8028,Catholic Memorial,235 Baker Street,West Roxbury,BOSTON,MA,2132,Richard Chisholm,617-469-8000,617-325-0888,"7,8,9,10,11,12",PRI
-71.15708861,42.27612508,124,1851,350808,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,BOSTON,MA,2132,F Jarvis,617-325-4920,--,"7,8,9,10,11,12",PRI
-71.08439494,42.30749915,125,1883,350778,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,BOSTON,MA,2121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI
-71.11202473,42.30824258,126,1885,350740,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,BOSTON,MA,2130,Khabria Brown,617-524-9004,--,"PK,K",PRI
-71.12664191,42.3023037,127,1886,350749,Italian Home For Children,1125 Centre Street,Jamaica Plain,BOSTON,MA,2130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE
-71.07094097,42.28834248,128,1887,350947,Parkside Christian Academy,670 Washington Street,Dorchester,BOSTON,MA,2124,John Mallory,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.12191296,42.25729508,129,1888,350795,New Beginnings Academy,20 Central Ave,Hyde Park,BOSTON,MA,2136,Cynthia Schroder,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12",PRI
-71.07171605,42.35640417,132,2246,350805,Park Street School,67 Brimmer Street,Boston,BOSTON,MA,2108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI
-71.11004982,42.33097885,133,2304,350768,Manville School,53 Parker Hill Ave,Boston,BOSTON,MA,2120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE
-71.05393062,42.31231435,134,168,8024,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,BOSTON,MA,2125,Elizabeth Degnan,617-825-2580,617-825-2613,"9,10,11,12",PRI
-71.15429833,42.34788428,135,1939,350811,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,BOSTON,MA,2135,Don Rodkin,617-787-2200,617-787-4693,"PK,K,1,2,3,4",PRI
-71.14845266,42.28806968,136,172,8037,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,BOSTON,MA,2132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.13697903,42.24014225,137,1943,350824,St Anne Elementary,20 Como Rd,Hyde Park,BOSTON,MA,2136,Jane Trumpis,617-361-3563,--,"K,1,2,3,4,5,6,7,8",PRI
-71.15794424,42.27830411,138,188,8096,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,BOSTON,MA,2132,Virginia Kelleher,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.05124532,42.2819184,140,184,8070,St Brendan Elementary,29 Rita Rd,Dorchester,BOSTON,MA,2124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI
-71.03970018,42.33322421,142,2382,350890,St Peter Academy,518 E Sixth Street,South Boston,BOSTON,MA,2127,David Romanosky,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.05027436,42.37570457,143,2385,350809,Seaport Campus School,197 Eighth Street,Charlestown,BOSTON,MA,2129,Alex Christos Tsonas,617-241-3871,617-241-7452,"8,9,10,11,12",SPE
-71.06613746,42.29256472,144,2389,350729,Epiphany School,154 Centre Street,Dorchester,BOSTON,MA,2124,John Finley,617-326-0425,617-326-0424,"5,6,7,8",PRI
-71.08221906,42.35029859,145,2426,350760,The Kingsley Montessori School,30 Fairfield Street,Boston,BOSTON,MA,2116,Carole Forbes,617-226-4900,--,"PK,K,1,2,3,4,5,6",PRI
-71.1075472,42.34103155,146,2427,350910,The Winsor School,103 Pilgrim Rd,Boston,BOSTON,MA,2215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI
-71.10979152,42.35102891,147,2445,350813,Boston University Academy,1 University Road,Boston,BOSTON,MA,2215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI
-71.14254519,42.34998095,148,2517,350758,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,BOSTON,MA,2135,Bonnie Paulino Lanen,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",SPE
-71.04564148,42.31674313,149,165,8023,Boston College High,150 Morrissey Blvd,Dorchester,BOSTON,MA,2125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI
-71.12868706,42.25923908,150,2744,460865,Boston Trinity Academy,17 Hale St.,Boston,BOSTON,MA,2136,Timothy Wiens,617-364-3700,617-364-3800,"6,7,8,9,10,11,12",PRI
-71.13610571,42.36040983,151,2745,490855,German International School Boston,57 Holton Street,Allston,BOSTON,MA,2134,Christian Nitschke,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7",PRI
-71.05800497,42.32055814,152,177,8089,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,BOSTON,MA,2125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.08763637,42.32402537,153,141,5100,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,BOSTON,MA,2119,Cristin Berry,617-445-1515,617-445-9153,"9,10,11,12",CHA
-71.08019252,42.28492464,154,2761,350872,St Matthew Elementary,33 Stanton Street,Dorchester,BOSTON,MA,2124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.11167788,42.32705014,155,2764,350791,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,BOSTON,MA,2130,Pamela M Nolan,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9",SPE
-71.1266998,42.28727659,156,2767,350720,Children's Learning Center,7 Murray Hill Rd.,Roslindale,BOSTON,MA,2131,Francis Campbell,617-327-2538,--,"PK,K,1,2,3,4,5,6",PRI
-71.05241757,42.31882738,157,135,5501,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,BOSTON,MA,2125, , , , ,CHA
-71.10668183,42.26164259,158,156,5432,MATCH Charter Community Day School,100 Poydras Street,Mattapan,BOSTON,MA,2126, ,617-983-0300 ,617-983-0332,"PK, K, 1, 2, 3, 4",CHA
-71.08183333,42.31790744,159,155,5480,KIPP Academy Boston - Middle School,384 Warren Street,Roxbury,BOSTON,MA,2119,Emily Hepler,617-238-7300,617-652-7461,"5,6,7,8",CHA
-71.10376737,42.30511278,160,158,5430,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,BOSTON,MA,2130, ,857-203-9668,857-203-9666,"5,6,7,8",CHA
-71.08544118,42.30120463,162,140,5540,Bridge Boston Charter School (K1-1),2 McLellan Street,Dorchester,BOSTON,MA,2121, , , ,"K, 1",CHA
-71.09249544,42.29482976,163,148,5451,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,BOSTON,MA,2124, , , , ,CHA
-71.0633956,42.31131313,164,146,5530,Dorchester Collegiate Academy,131 Hancock St.,Dorchester,BOSTON,MA,2125,Donna Green-Ford,617-379-3029, , ,CHA
-71.07364953,42.31136828,165,160,5302,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,BOSTON,MA,2121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA
-71.01623727,42.38273395,166,147,5452,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,BOSTON,MA,2128, , , , ,CHA
-70.99945254,42.38436829,167,152,5491,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,BOSTON,MA,2124, , , , ,CHA
-71.08270278,42.33161893,168,142,5101,City On A Hill Charter Public School - Dudley Square,2181 Washington Street,Roxbury,BOSTON,MA,2119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA
-71.06598111,42.27687723,169,145,5200,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,BOSTON,MA,2124,Robyn Pretlow,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8",CHA
-71.07083763,42.29555817,170,162,5301,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,BOSTON,MA,2124,Dana Lehman,617-979-0115,617-822-7527,"6,7,8",CHA
-71.09313274,42.32982561,172,164,5800,Youth Build Boston,27 Centre Street,Roxbury,BOSTON,MA,2119, , , , ,CHA
-71.06418285,42.29148511,573,139,5541,Bridge Boston Charter School (2-4),18 Samoset Street,Dorchester,BOSTON,MA,2124, , , ," 2, 3, 4",CHA
-71.03581559,42.33926871,973,150,5492,Excel Academy Charter High School,7 Elkins Street,South Boston,BOSTON,MA,2127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA
-71.10552827,42.26135775,974,154,5481,KIPP Academy Boston - Elementary School,6 Tchapitoulas Street,Mattapan,BOSTON,MA,2126,Emily Hepler,617-238-7300,617-652-7461,"K,1,2,3,4",CHA
-71.1145411,42.29506707,975,161,5303,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,BOSTON,MA,2130,Shradha m Patel,--,--,"9,10,11,12",CHA
-71.06684022,42.27487512,1373,170,8662,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,BOSTON,MA,2124,Patricia Leitsinger,617-296-1087,--,"9,10,11,12",PRI
-71.06159037,42.37379378,1374,171,,Good Shepherd School,20 Winthrop Street,Charlestown,BOSTON,MA,2129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI
-71.04723284,42.33493645,1375,173,,Julie's Family Learning Program,133 Dorchester Street,South Boston,BOSTON,MA,2127,Robert Monahan,617-269-6663,--,"PK, K",PRI
-71.04625871,42.31880136,1376,176,8642,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,BOSTON,MA,2125, ,--,--, ,PRI
-71.07622235,42.32492048,1377,187,8337,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,BOSTON,MA,2119,Mary Lanata,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8",PRI
